Servicio,Region,Comuna,Tipo_1,Dependencia,Tipo,Nombre,Direccion,Telefono,Fax
Viña del Mar Quillota,5,QUILPUE,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Colliguay,Aldea Colliguay,,
Viña del Mar Quillota,5,OLMUÉ,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Quebrada Alvarado,Aldea Quebrada Alvarado,,
Viña del Mar Quillota,5,HIJUELAS,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Romeral,Sector Romeral,,
Viña del Mar Quillota,5,HIJUELAS,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Villa Prat,Sector Villa Prat,,
Viña del Mar Quillota,5,LA LIGUA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Santa Marta,Aldea Santa Marta,,
Viña del Mar Quillota,5,LA LIGUA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Pueblo de Varas,Sector Pueblo de Varas,,
Viña del Mar Quillota,5,LA LIGUA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Pueblo de Roco,Sector Pueblo de Roco,,
Viña del Mar Quillota,5,LA LIGUA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Trapiche,Aldea El Trapiche,,
Viña del Mar Quillota,5,LA LIGUA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Las Parcelas,Aldea Las Parcelas,,
Viña del Mar Quillota,5,LA LIGUA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Huaquén (La Ligua),Sector Huaquén,,
Viña del Mar Quillota,5,LA LIGUA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Los Molles,Pueblo Los Molles,,
Viña del Mar Quillota,5,PAPUDO,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Papudo,Pueblo de Papudo,,
Viña del Mar Quillota,5,PAPUDO,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Pullally,Pueblo de Pullalli,,
Viña del Mar Quillota,5,ZAPALLAR,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Zapallar,Pueblo Zapallar,,
Viña del Mar Quillota,5,ZAPALLAR,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Catapilco,Pueblo Catapilco,,
Viña del Mar Quillota,5,CABILDO,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Alicahue,Caserío Alicahue,,
Viña del Mar Quillota,5,CABILDO,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Artificio (Cabildo),Pueblo de Artificio,,
Viña del Mar Quillota,5,CABILDO,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural La Viña,Aldea La Viña,,
Viña del Mar Quillota,5,PETORCA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Hierro Viejo,Aldea Hierro Viejo,,
Viña del Mar Quillota,5,PETORCA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Pedegua,Aldea Pedegua,,
Viña del Mar Quillota,5,LA LIGUA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Pichicuy,Pueblo Pichicuy,,
Viña del Mar Quillota,5,PUCHUNCAVÍ,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Maitencillo (Puchuncaví),Caserío de Maitencillo,,
Viña del Mar Quillota,5,VIÑA DEL MAR,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Urbano,Consultorio Santa Julia,"Paradero 1 N° S/N, Achupallas viña del mar",800500534,
Viña del Mar Quillota,5,QUILPUE,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Aviador Acevedo,Sector Aviador Acevedo,,
Viña del Mar Quillota,5,PUCHUNCAVÍ,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Horcón,Sector Horcón,,
Viña del Mar Quillota,5,OLMUÉ,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural La Vega (Olmué),Sector La Vega,,
Viña del Mar Quillota,5,OLMUÉ,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Las Palmas,Caserío Las Palmas,,
Viña del Mar Quillota,5,CALERA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Pachacamita,Aldea Pachacamita,,
Viña del Mar Quillota,5,LA LIGUA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural La Canela,Aldea La Canela,,
Viña del Mar Quillota,5,QUILLOTA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Manzanar,Caserío Manzanar,,
Viña del Mar Quillota,5,CABILDO,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Las Puertas,Sector Las Puertas,,
Viña del Mar Quillota,5,QUILPUE,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Pompeya,Sector Pompeya,,
Viña del Mar Quillota,5,CALERA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Pachacama,Sector Pachacama,,
Viña del Mar Quillota,5,QUILLOTA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro CECOF,Centro Comunitario de Salud Familiar Cardenal Raúl Silva Henriquez,"Aconcagua N° 13, Cerro Macaya",033-294721,
Viña del Mar Quillota,5,NOGALES,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro CECOF,Centro Comunitario de Salud Familiar Ex Asentamiento El Melón,Ex Asentamiento El Melón N° S/N,033-281347,
Viña del Mar Quillota,5,CALERA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro CECOF,Centro Comunitario de Salud Familiar Villa Valparaíso,"Chañaral N° S/N, Villa Valparaíso",033-294731,
Viña del Mar Quillota,5,VIÑA DEL MAR,CENTROS DE ATENCIÓN DE URGENCIA A NIVEL DE COMUNA,Municipal,Servicio de Atención Primaria de Urgencia,SAPU-Nueva Aurora,"Agua Santa N° S/N, Paradero 5, Sector Nueva Aurora",032-614904,
Viña del Mar Quillota,5,VIÑA DEL MAR,CENTROS DE ATENCIÓN DE URGENCIA A NIVEL DE COMUNA,Municipal,Servicio de Atención Primaria de Urgencia,SAPU-Miraflores (Viña del Mar),"El Membrillo N° S/N (esquina Frei, Miraflores)",032-645183,
Viña del Mar Quillota,5,CON-CON,CENTROS DE ATENCIÓN DE URGENCIA A NIVEL DE COMUNA,Municipal,Servicio de Atención Primaria de Urgencia,SAPU-Concón,Chañarcillo N° 1150,,
Viña del Mar Quillota,5,QUILPUE,CENTROS DE ATENCIÓN DE URGENCIA A NIVEL DE COMUNA,Municipal,Servicio de Atención Primaria de Urgencia,SAPU-El Belloto,"Troncos Viejos esq El Alba, Belloto Sur",,
Viña del Mar Quillota,5,PUCHUNCAVÍ,CENTROS DE ATENCIÓN DE URGENCIA A NIVEL DE COMUNA,Municipal,Servicio de Atención Primaria de Urgencia,SAPU-Ventanas,"Nueva Germania s/n, Ventanas",,
Viña del Mar Quillota,5,CALERA,CENTROS DE ATENCIÓN DE URGENCIA A NIVEL DE COMUNA,Municipal,Servicio de Atención Primaria de Urgencia,SAPU-Artificio,"J Godoy N° S/N, Artificio",,
Viña del Mar Quillota,5,VILLA ALEMANA,CENTROS DE ATENCIÓN DE URGENCIA A NIVEL DE COMUNA,Municipal,Servicio de Atención Primaria de Urgencia,SAPU-Edualdo Frei Montalva,"Rivadavia s/n esq Santa Margarita, Pobl Rosenquist",,
Aconcagua,5,LOS ANDES,OTRO,Seremi,Oficina Sanitaria,Oficina Sanitaria Los Libertadores,Puesto Fronterizo Los Libertadores,,
Aconcagua,5,SAN FELIPE,HOSPITALES,Servicio,Establecimiento Mayor Complejidad,Hospital de San Camilo (San Felipe),Miraflores N° 2085,034-493200,034-510217
Aconcagua,5,LOS ANDES,HOSPITALES,Servicio,Establecimiento Mayor Complejidad,Hospital San Juan de Dios (Los Andes),Avda Argentina N° 315,034-490300,034-425889
Aconcagua,5,LLAILLAY,HOSPITALES,Servicio,Establecimiento Menor Complejidad,Hospital San Francisco (Llaillay),San Francisco N° 76,034-492800,034-611960
Aconcagua,5,PUTAENDO,HOSPITALES,Servicio,Establecimiento Menor Complejidad,Hospital San Antonio (Putaendo),Avda Alessandri N° 186,034-492700,034-501953
Aconcagua,5,PUTAENDO,HOSPITALES,Servicio,Establecimiento Mediana Complejidad,Hospital Psiquiátrico Dr Philippe Pinel (Putaendo),José Antonio Salinas N° 2500,034-490600,034-501407
Aconcagua,5,RINCONADA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Familiar,Centro de Salud Familiar Rinconada,"Alborada N° S/N, Rinconada",034-492391,
Aconcagua,5,SAN ESTEBAN,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Familiar,Centro de Salud Familiar San Esteban,Arturo Prat N° 312,034-492400,
Aconcagua,5,CATEMU,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Familiar,Centro de Salud Familiar Catemu,Prat N° S/N,034-492540,
Aconcagua,5,PUTAENDO,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Familiar,Centro de Salud Familiar Putaendo,Avda Alessandri N° 196,034-490503,
Aconcagua,5,SAN FELIPE,CENTRO DE ATENCIÓN PRIMARIA,Servicio,Centro de Salud Urbano,Consultorio San Felipe,Cajales N°1900,034-492010,
Aconcagua,5,LOS ANDES,CENTRO DE ATENCIÓN PRIMARIA,Servicio,Centro de Salud Familiar,Centro de Salud Familiar Cordillera Andina,Papudo Norte N° 151,034-508500,
Aconcagua,5,LOS ANDES,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Familiar,Centro de Salud Familiar Centenario,Avda Perú N° S/N,034-492550,
Aconcagua,5,CALLE LARGA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Rural,Consultorio Calle Larga,La Pampilla N° 164,034-493050,
Aconcagua,5,SANTA MARIA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Familiar,Centro de Salud Familiar Santa María,Irarrázabal N° 246,034-582160,
Aconcagua,5,SAN FELIPE,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Rural,Consultorio Curimón,"Plaza de Curimón N° 45, Pueblo Curimón",034-492690,
Aconcagua,5,PANQUEHUE,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Rural,Consultorio Panquehue,El Peral N° S/N,034-492640,
Aconcagua,5,SAN FELIPE,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Rural,Segismundo Iturra,Santa Teresa N° 370,034-492000,
Aconcagua,5,SAN ESTEBAN,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Lo Calvo,"Lo Camus s/n, Aldea Lo Calvo",,
Aconcagua,5,SAN ESTEBAN,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Cariño Botado,"Las Faldas s/n, Sector Cariño Botado",,
Aconcagua,5,SAN ESTEBAN,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Campos de Ahumada,Calle campos de Ahumada Sector Bajo,,
Aconcagua,5,SAN ESTEBAN,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Río Colorado,"Calle Primera Quebrada s/n, Caserío Río Colorado",,
Aconcagua,5,LOS ANDES,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Río Blanco (Los Andes),"Camino Internacional s/n, Caserío Río Blanco Carretera",,
Aconcagua,5,CALLE LARGA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural San Vicente (Calle Larga),Caserío El Estero,,
Aconcagua,5,PUTAENDO,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Piguchén (Putaendo),"Calle Troncal s/n, Aldea San José de Piguchén",,
Aconcagua,5,PUTAENDO,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Guzmanes,Sector Guzmanes,,
Aconcagua,5,CATEMU,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Cerrillos (Catemu),Aldea Los Cerrillos,,
Aconcagua,5,SANTA MARIA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Santa Filomena (Santa María),"Calle Lo Galdamez s/n, Aldea Santa Filomena",,
Aconcagua,5,PUTAENDO,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural La Orilla (Putaendo),Aldea La Orilla,,
Aconcagua,5,PUTAENDO,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Quebrada de Herrera,Aldea Quebrada de Herrera,,
Aconcagua,5,LOS ANDES,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro CECOF,Centro Comunitario de Salud Familiar Juan Pablo Segundo,Esteban Sainz Nº 945 Pobl Las Acacias Los Andes II A,,
Aconcagua,5,SANTA MARIA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro CECOF,Centro Comunitario de Salud Familiar Las Cadenas,Pueblo El Llano,,
Aconcagua,5,SAN FELIPE,CENTROS DE ATENCIÓN DE URGENCIA A NIVEL DE COMUNA,Municipal,Servicio de Atención Primaria de Urgencia,SAPU-Curimón,Cajales N°1900,,
Metropolitano Norte,13,TILTIL,OTRO,Servicio,Clínica Dental Móvil,Clínica Dental Móvil ( Independencia),Maruri N° 272,,
Metropolitano Norte,13,INDEPENDENCIA,HOSPITALES,Servicio,Establecimiento Mayor Complejidad,Complejo Hospitalario San José,San José N° 1136,02-3832600,02-3832951
Metropolitano Norte,13,INDEPENDENCIA,HOSPITALES,Servicio,Establecimiento Mayor Complejidad,Hospital Clínico de Niños Dr Roberto del Río,Avda Profesor Zañartu N° 1085,02-7371011,02-7778933
Metropolitano Norte,13,RECOLETA,HOSPITALES,Servicio,Establecimiento Mayor Complejidad,Instituto Psiquiátrico Dr José Horwitz Barak,Avda La Paz Nº 841,02-7371031,02-7374319
Metropolitano Norte,13,INDEPENDENCIA,HOSPITALES,Servicio,Establecimiento Mayor Complejidad,Instituto Nacional del Cáncer Dr Caupolicán Pardo Correa,Avda Profesor Zañartu Nº1010,02-7376008,02-7371458
Metropolitano Norte,13,TILTIL,HOSPITALES,Servicio,Establecimiento Menor Complejidad,Hospital de Til Til,Daniel Moya N° 100,02-5751700,02-7371458
Metropolitano Norte,13,INDEPENDENCIA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Urbano,Consultorio Agustín Cruz Melo,Avda Independencia N° 1325,02-7355547,
Metropolitano Norte,13,RECOLETA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Urbano,Consultorio Recoleta,Recoleta N° 740,02-5751600,
Metropolitano Norte,13,CONCHALÍ,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Urbano,Consultorio Lucas Sierra,Pedro Fontova N° 4107,800500153,
Metropolitano Norte,13,RECOLETA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Urbano,Consultorio Quinta Bella,Justicia Social N° 185,800500161,
Metropolitano Norte,13,RECOLETA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Urbano,Consultorio Valdivieso,Los Cipreses N° 1892,02-5751250,
Metropolitano Norte,13,HUECHURABA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Urbano,Consultorio La Pincoya,Recoleta Nº 5580,800500157,
Metropolitano Norte,13,RECOLETA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Urbano,Consultorio Dr Juan Petrinovic,Teniente Colipí N° 670,02-5750792,
Metropolitano Norte,13,CONCHALÍ,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Familiar,Centro de Salud Familiar Alberto Bachelet Martínez,El Guanano Nº 3250,800500154,
Metropolitano Norte,13,CONCHALÍ,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Familiar,Centro de Salud Familiar José Symon Ojeda,El Cortijo N° 2803,800500152,
Metropolitano Norte,13,COLINA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Familiar,Centro de Salud Familiar Colina,Alpatacal Nº 0540,800500151,
Metropolitano Norte,13,LAMPA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Rural,Consultorio José Bauzá Frau,Ismael Carmona N° 978,02-8421039,
Metropolitano Norte,13,LAMPA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Rural,Consultorio Batuco,Avda Sur N° S/N,02-8432934,
Metropolitano Norte,13,QUILICURA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Urbano,Consultorio Irene Frei Cid,San Luis Nº 525 esquina calle A,02-6272445,
Metropolitano Norte,13,CONCHALÍ,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Familiar,Centro de Salud Familiar Juanita Aguirre,Altona N° 1835,02-5750350,
Metropolitano Norte,13,QUILICURA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Urbano,Consultorio Manuel Bustos de Quilicura,Avda Lo Cruzat Nº 486,02-6271398,
Metropolitano Norte,13,COLINA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Familiar,Centro de Salud Familiar Esmeralda,"Carretera General San Martín N° S/N, Km 31, Paradero 42",02-5751450,
Metropolitano Norte,13,HUECHURABA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Familiar,Centro de Salud Familiar El Barrero,Las Petunias N° 305,800500156,
Metropolitano Norte,13,TILTIL,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Rural,Consultorio Huertos Familiares,"3 Oriente N° 221, Pueblo Huertos Familiares",02-5751450,
Metropolitano Norte,13,INDEPENDENCIA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro de Salud Familiar,Centro de Salud FamiliarJuan Antonio Ríos,Soberanía N° 1180,,
Metropolitano Norte,13,RECOLETA,CENTRO DE ATENCIÓN PRIMARIA,Delegado,Centro de Salud Familiar,Centro de Salud Familiar Cristo Vive (ONG),Recoleta Nº 4125,02-6226380,02-6227692
Metropolitano Norte,13,LAMPA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Juan Pablo II de Lampa,"Esperanza s/n, Ciudad Lampa",,02-8421039
Metropolitano Norte,13,TILTIL,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural La Capilla de Caleu,Caserío Capilla de Caleu,,02-8432934
Metropolitano Norte,13,TILTIL,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Montenegro,"Calle Larga s/n, Aldea Montenegro",,02-6272445
Metropolitano Norte,13,TILTIL,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Rungue,"Calle Estación s/n, Aldea Rungue",,800500155
Metropolitano Norte,13,TILTIL,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Polpaico,"Calle Estación ente Principal y Darío Ovalle, Aldea Estación Polpaico",,02--6271398
Metropolitano Norte,13,COLINA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Colorado,"Calle Colorado sitio 4 D, Aldea El Colorado",,800500156
Metropolitano Norte,13,COLINA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Los Ingleses,"Hermanos Carrera s/n, Aldea Los Ingleses",,02-2493123
Metropolitano Norte,13,COLINA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Las Canteras,"Fermín Vergara 159, Pueblo Las Canteras",,02-3832600
Metropolitano Norte,13,COLINA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Santa Marta de Liray,"Camino La Capilla s/n, Caserío Santa Marta de Liray",,
Metropolitano Norte,13,COLINA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Posta de Salud Rural,Posta de Salud Rural Chacabuco (Colina),"Carretera San Martín Km 51, Aldea Chacabuco",,
Metropolitano Norte,13,INDEPENDENCIA,CENTROS RESOLUTIVIDAD AMBULATORIA A NIVEL DE COMUNA,Municipal,Consultorio de Salud Mental,COSAM Independencia,Salomón Sack Nº 331 - B (Inglaterra 1474),02-7378222,
Metropolitano Norte,13,CONCHALÍ,CENTROS RESOLUTIVIDAD AMBULATORIA A NIVEL DE COMUNA,Municipal,Consultorio de Salud Mental,COSAM Conchalí,Canberra N° 5860,02-6233236,
Metropolitano Norte,13,HUECHURABA,CENTROS RESOLUTIVIDAD AMBULATORIA A NIVEL DE COMUNA,Municipal,Consultorio de Salud Mental,COSAM Huechuraba,Recoleta Nº 5696,02-2440528,
Metropolitano Norte,13,RECOLETA,CENTROS RESOLUTIVIDAD AMBULATORIA A NIVEL DE COMUNA,Municipal,Consultorio de Salud Mental,COSAM Recoleta,Inocencia Nº 2705 Pob Qta Bella,02-6296512,
Metropolitano Norte,13,QUILICURA,CENTROS RESOLUTIVIDAD AMBULATORIA A NIVEL DE COMUNA,Municipal,Consultorio de Salud Mental,COSAM Quilicura,Guardia Marina Riquelme Nº 489,02-5751350,
Metropolitano Norte,13,COLINA,CENTROS RESOLUTIVIDAD AMBULATORIA A NIVEL DE COMUNA,Municipal,Consultorio de Salud Mental,COSAM Colina,"Pasaje 10 Nº 816, Pob Ignacio Carrera Pinto",02-8441851,
Metropolitano Norte,13,LAMPA,CENTROS RESOLUTIVIDAD AMBULATORIA A NIVEL DE COMUNA,Municipal,Consultorio de Salud Mental,COSAM Lampa,Baquedano N° 824,02-5751449,
Metropolitano Norte,13,TILTIL,CENTROS RESOLUTIVIDAD AMBULATORIA A NIVEL DE COMUNA,Municipal,Consultorio de Salud Mental,COSAM Til-Til,Daniel Moya N° 100,02-5751750,
Metropolitano Norte,13,CONCHALÍ,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro CECOF,Centro Comunitario de Salud Familiar Dr José Symón Ojeda,Avda Barón de Juras Reales N° 3988,,02-6226380
Metropolitano Norte,13,LAMPA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro CECOF,Centro Comunitario de Salud Familiar Batuco,Avda Argentina N° S/N (esquina Maysonave),,
Metropolitano Norte,13,QUILICURA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro CECOF,Centro Comunitario de Salud Familiar Pucara de Lasana,Avda Las Torres Nº 211,02-6073310,
Metropolitano Norte,13,COLINA,CENTRO DE ATENCIÓN PRIMARIA,Municipal,Centro CECOF,Centro Comunitario de Salud Familiar Esmeralda,"Atena N° 2008 (esquina Nicolás Massú e Ivan Zamorano, Villa Oro Olimpico, Sector Oriente)",,
Metropolitano Norte,13,RECOLETA,CENTROS DE ATENCIÓN DE URGENCIA A NIVEL DE COMUNA,Municipal,Servicio de Atención Primaria de Urgencia,SAPU-Recoleta,Avda Zapadores N° 1099,02-6262284,
Metropolitano Norte,13,CONCHALÍ,CENTROS DE ATENCIÓN DE URGENCIA A NIVEL DE COMUNA,Municipal,Servicio de Atención Primaria de Urgencia,SAPU-Lucas Sierra,Pedro Fontova N° 4107,02-7344762,
Metropolitano Norte,13,RECOLETA,CENTROS DE ATENCIÓN DE URGENCIA A NIVEL DE COMUNA,Municipal,Servicio de Atención Primaria de Urgencia,SAPU-Valdivieso,Los Cipreses N° 1892,02-5751250,
Metropolitano Norte,13,HUECHURABA,CENTROS DE ATENCIÓN DE URGENCIA A NIVEL DE COMUNA,Municipal,Servicio de Atención Primaria de Urgencia,SAPU-La Pincoya,Recoleta N° 5580,02-6268509,
Metropolitano Norte,13,CONCHALÍ,CENTROS DE ATENCIÓN DE URGENCIA A NIVEL DE COMUNA,Municipal,Servicio de Atención Primaria de Urgencia,SAPU Alberto Bachelet Martínez,El Guanaco Nº 3250,800500154,02-7376008
Metropolitano Norte,13,CONCHALÍ,CENTROS DE ATENCIÓN DE URGENCIA A NIVEL DE COMUNA,Municipal,Servicio de Atención Primaria de Urgencia,SAPU-Symon Ojeda,Avda El Cortijo N° 2895,02-6230805,
Metropolitano Norte,13,COLINA,CENTROS DE ATENCIÓN DE URGENCIA A NIVEL DE COMUNA,Municipal,Servicio de Atención Primaria de Urgencia,SAPU-Colina,"Carretera San Martín ]N° 077, Colina",02-8445026,02-8445026
Metropolitano Norte,13,LAMPA,CENTROS DE ATENCIÓN DE URGENCIA A NIVEL DE COMUNA,Municipal,Servicio de Atención Primaria de Urgencia,SAPU-José Bauzá Frau,Ismael Carmona N° 978,02-8421657,
Metropolitano Norte,13,QUILICURA,CENTROS DE ATENCIÓN DE URGENCIA A NIVEL DE COMUNA,Municipal,Servicio de Atención Primaria de Urgencia,SAPU Nº 2-Irene Frei de Cid,"San Luís N° 525, (esquina Calle A)",02-6272438,
Metropolitano Norte,13,QUILICURA,CENTROS DE ATENCIÓN DE URGENCIA A NIVEL DE COMUNA,Municipal,Servicio de Atención Primaria de Urgencia,SAPU Nº 1-Manuel Bustos,Pedro José Escobar N° 483,02-2447733,
Metropolitano Norte,13,INDEPENDENCIA,CENTROS DE ATENCIÓN DE URGENCIA A NIVEL DE COMUNA,Municipal,Servicio de Atención Primaria de Urgencia,SAPU-Juan Antonio Rios,Soberanía N° 1180,,
Metropolitano Norte,13,RECOLETA,CENTROS DE ATENCIÓN DE URGENCIA A NIVEL DE COMUNA,Delegado,Servicio de Atención Primaria de Urgencia,SAPU-Cristo Vive,Recoleta N° 4125,02-6226380,
Metropolitano Occidente,13,SANTIAGO,OTRO,Servicio,Clínica Dental Móvil,Clínica Dental Móvil (Santiago ),Alameda Bernardo O´Higgins N° 2429,,
Metropolitano Occidente,13,SANTIAGO,HOSPITALES,Servicio,Establecimiento Mayor Complejidad,Hospital San Juan de Dios,Huérfanos Nº 3255,02-5741900,02-6816658
Metropolitano Occidente,13,SANTIAGO,HOSPITALES,Servicio,Establecimiento Mayor Complejidad,Instituto Traumatológico Dr Teodoro Gebauer,San Martín Nº 771,02-5746150,02-3970297
Metropolitano Occidente,13,QUINTA NORMAL,HOSPITALES,Servicio,Establecimiento Mayor Complejidad,Hospital Dr Félix Bulnes Cerda,Leoncio Fernández Nº 2655,02-5744400,02-7504801
